"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 15:54:40 BRT 2022","Fri Jul 01 15:54:41 BRT 2022","675","","Calculator: should be validate the result of division of two different numbers","","Calculator: should be validate the result of division of two different numbers","should be put the first value","should be put the first value",""
"passed","Fri Jul 01 15:54:35 BRT 2022","Fri Jul 01 15:54:35 BRT 2022","623","","Calculator: should be validate the result of substraction of two different numbers","","Calculator: should be validate the result of substraction of two different numbers","should be choose the operator","should be choose the operator",""
"passed","Fri Jul 01 15:54:42 BRT 2022","Fri Jul 01 15:54:43 BRT 2022","628","","Calculator: should be validate the result of division of two different numbers","","Calculator: should be validate the result of division of two different numbers","should be choose the operator","should be choose the operator",""
"passed","Fri Jul 01 15:54:37 BRT 2022","Fri Jul 01 15:54:39 BRT 2022","1760","","Calculator: should be validate the result of multiply of two different numbers","","Calculator: should be validate the result of multiply of two different numbers","should be put the second value","should be put the second value",""
"passed","Fri Jul 01 15:54:31 BRT 2022","Fri Jul 01 15:54:32 BRT 2022","584","","Calculator: should be validate the result of sum of two different numbers","","Calculator: should be validate the result of sum of two different numbers","should be show the result","should be show the result",""
"passed","Fri Jul 01 15:54:36 BRT 2022","Fri Jul 01 15:54:37 BRT 2022","1224","","Calculator: should be validate the result of multiply of two different numbers","","Calculator: should be validate the result of multiply of two different numbers","should be put the first value","should be put the first value",""
"passed","Fri Jul 01 15:54:43 BRT 2022","Fri Jul 01 15:54:43 BRT 2022","566","","Calculator: should be validate the result of division of two different numbers","","Calculator: should be validate the result of division of two different numbers","should be show the result","should be show the result",""
"passed","Fri Jul 01 15:54:35 BRT 2022","Fri Jul 01 15:54:36 BRT 2022","593","","Calculator: should be validate the result of substraction of two different numbers","","Calculator: should be validate the result of substraction of two different numbers","should be show the result","should be show the result",""
"passed","Fri Jul 01 15:54:27 BRT 2022","Fri Jul 01 15:54:29 BRT 2022","1675","","Calculator: should be validate the result of sum of two different numbers","","Calculator: should be validate the result of sum of two different numbers","should be put the first value","should be put the first value",""
"passed","Fri Jul 01 15:54:32 BRT 2022","Fri Jul 01 15:54:33 BRT 2022","1182","","Calculator: should be validate the result of substraction of two different numbers","","Calculator: should be validate the result of substraction of two different numbers","should be put the first value","should be put the first value",""
"passed","Fri Jul 01 15:54:40 BRT 2022","Fri Jul 01 15:54:40 BRT 2022","119","","Calculator: should be validate the result of multiply of two different numbers","","Calculator: should be validate the result of multiply of two different numbers","should be show the result","should be show the result",""
"passed","Fri Jul 01 15:54:41 BRT 2022","Fri Jul 01 15:54:42 BRT 2022","1124","","Calculator: should be validate the result of division of two different numbers","","Calculator: should be validate the result of division of two different numbers","should be put the second value","should be put the second value",""
"passed","Fri Jul 01 15:54:39 BRT 2022","Fri Jul 01 15:54:40 BRT 2022","1137","","Calculator: should be validate the result of multiply of two different numbers","","Calculator: should be validate the result of multiply of two different numbers","should be choose the operator","should be choose the operator",""
"passed","Fri Jul 01 15:54:31 BRT 2022","Fri Jul 01 15:54:31 BRT 2022","599","","Calculator: should be validate the result of sum of two different numbers","","Calculator: should be validate the result of sum of two different numbers","should be choose the operator","should be choose the operator",""
"passed","Fri Jul 01 15:54:33 BRT 2022","Fri Jul 01 15:54:35 BRT 2022","1632","","Calculator: should be validate the result of substraction of two different numbers","","Calculator: should be validate the result of substraction of two different numbers","should be put the second value","should be put the second value",""
"passed","Fri Jul 01 15:54:29 BRT 2022","Fri Jul 01 15:54:31 BRT 2022","1648","","Calculator: should be validate the result of sum of two different numbers","","Calculator: should be validate the result of sum of two different numbers","should be put the second value","should be put the second value",""
